cid,mp
6529,77.50
6709,162.00
7423,114.00
7540,25.00
8441,141.00
31356,-14.72
8509,170.50
11568,123.00
11722,53.00
12306,60.00
12958,50.00
13361,29.00
15628,93.00
16180,86.00
19841,90.50
21492,43.00
23467,59.00
27982,74.50
30709,70.40
7543,110.00
7570,37.00
7114,114.00
25204,961.00
403,187.50
31244,0.00
7371,50.50
2682,49.30
13583,28.30
8907,13.50
7955,354.00
4093,16.00
7005,96.00
8607,177.00
12025,25.00
5144,11.20
12471,78.50
6734,93.00
6724,261.00
9161,89.40
7863,45.00
14041,95.50
904,114.30
7592,86.00
22563,136.00
32579,133.25
23879,144.70
18607,192.50
13253,7.50
26604,35.50
38738,39.75
12078,46.00
443162,36.40
4904,120.50
24568,60.00
6096946,150.00
8986,121.00
6053,115.50
10693,235.00
7051,24.50
8820,114.75
31257,84.00
31277,129.00
7587,66.50
8494,81.00
7468,106.00
8481,149.00
8880,64.00
7867,35.00
13584,54.00
20781,86.50
6996,11.90
16183,198.00
7723,31.00
7270,139.50
7804,87.30
9590,27.00
11955,115.00
5443,168.50
8653,78.00
8706,132.00
10307,55.00
7565,18.72
2969,31.50
12979,29.00
7595,238.00
700999,154.00
27375,147.50
5977,97.00
19232,213.50
6799,95.30
301,100.00
7179,137.50
12867,66.00
8621,95.50
6826,19.00
6719,143.00
11486,125.00
10867,49.50
7222,2.00
5798,170.50
17564,98.00
522251,131.50
7035,20.50
6456,113.50
667467,97.50
10176,170.40
9171,255.00
10813,87.00
637090,72.00
12189,72.00
7898,119.50
7956,360.00
13689,36.50
34140,71.00
6321405,216.00
16774,28.50
7261,99.00
8758,242.00
7567,91.50
10178,131.00
10316,36.00
637796,8.20
11855,86.00
7195,203.00
7031,172.00
7619,80.00
7232,96.50
10292,45.00
8576,244.00
6838,66.70
9074,144.50
15106,189.00
10219726,173.50
12542,108.00
31222,131.00
7518,82.00
519623,310.00
6849,61.00
8679,108.00
11966,8.00
7243,102.10
6319,150.50
5111791,199.50
8201,39.10
7347,109.50
6498,64.75
7954,146.00
5284483,106.00
26633,174.00
8717,68.00
14410,305.00
6905,327.00
8266,209.00
114878,120.00
29910,115.00
8265,239.00
6619,136.00
8326,255.75
31298,154.00
6531516,480.00
186342,320.00
24563,552.00
11813,66.00
10298,136.00
7422,15.50
6001,123.00
5284357,255.00
1674,178.00
3607071,215.50
6296,300.00
22830,156.00
17550,131.00
6101499,86.00
6231,170.00
11292,269.00
1639,159.00
14767,1650.00
24488,794.00
129627662,1871.11
14833,1565.00
25199732,787.00
24463,110.00
1983,168.00
12035,109.50
135401907,350.00
564,202.50
6249,202.00
657201,329.00
9782,232.50
2391,138.00
