cid,mp
24570,"-16 °C"
N/A,"240-255 °C"
11711,"-65 °C"
24569,"31.1 °C"
34,"-67.5 °C"
8011,"-46 °C"
71586773,"310 °C"
14771,"315 °C"
8121,"-31 °C"
234,"35 °C"
7389,"232 °C"
9351,"Decomposes at 273 °C"
8160,"Freezing point: -63.5 °C"
14794,"655 °C"
24630,"171 °C"
24554,"287 °C"
24814,"73.4 °C"
24615,"97 °C"
24557,"8.3 °C"
24294,"4 °C"
7477,"22 °C"
61477,"Melting point: decomposes /Dihydrate/"
24380,"304 °C"
25251,"MP: 47 °C. Freely soluble in water, alcohol, acetone; slightly soluble in cold concentrated nitric acid. /Ferric nitrate nonahydrate/"
518696,"1539 °C"
11248,"MP: Decomposes"
24458,"674 °C"
11064683,"White microscopic rhombic, orthorhombic crystals; mp: decomposition at 350 °C in molecular hydrogen; soluble in ammonium hydroxide. /Monohydrate/"
23616740,"The melting point for D-gluconic acid, ferrous salt dihydrate (98%) is 188 °C, decomposes. The specific optical rotation is +6.7 deg at 25 °C (c=1, H2O). /Dihydrate/"
10589,"MP: DECOMP 190 °C /DIHYDRATE/"
449809,"1377 °C"
24603,"-89 °C"
8067,"-75.69 °C"
25519,"Approximately 0 °C; decomposes"
6097028,"280 °C (decomposes)"
28145,"TWO MODIFICATIONS @ ROOM TEMP: STABLE, CUBIC PHASE; METASTABLE, TRIGONAL PHASE"
24639,"130 °C"
22985,"169.7 °C"
25487,"551 °C SUBLIMES"
24656,"200 °C"
2723923,"116 °C"
14935,"125.6 °C"
24600,"Decomposes 180 °C"
24595,"185 °C (decomposes)"
25517,"520.1 (triple point; decomposes)"
637566,"-15 °C"
517232,"60 °C SUBLIMES"
10690,"131 °C"
7027,"155 °C /decomposes/"
5793,"146 °C"
33032,"213 °C (OECD Guideline 102 (Melting point / Melting Range))"
14013,"107 °C (decomposes)"
753,"18.1 °C"
5283468,"25 °C (UNSTABLE)"
7837,"freezing pt: -41.5 °C"
750,"290 °C decomposes"
14982,"220 °C decomposes"
7860,"15 °C"
5988,"185.5 °C"
10967,"-41.5 °C"
8115,"-51.9 °C"
7944,"-96.8 TO -101.8 °C"
948,"-90.8 °C"
7838,"FREEZING POINT: FORMS GLASS @ -100 °C"
9989226,"2030 °C"
5359268,"660 °C"
5354495,"630.028 °C (gray antimony); trans gray 0 (black antimony)"
23969,"-116 °C"
N/A,"Decomposition point: 950 °C /Anthophylite/; 800 °C /Crocidolite/"
5460467,"1287 °C"
6623,"160 °C"
